Which village cinema did you last visit to watch a movie?,Is this the regular Village cinema which you attend?,Which day of the week did you attend the Village cinema on your last visit?,How convenient were the available session times for the movie you watched?,Approximately how long did it take for you to reach the cinema from home on your last visit?,"Including your most recent visit, how frequently have you been to the movies in the past 3 months?",Was the session you last attended a Gold Class screen?,How would you rate the overall cleanliness of the cinema?,How would you rate the size of the screen in your last movie session?,How would you rate the picture quality of the screen in your last movie session?,How would you rate the quality of the sound for the cinema you were in?,How would you rate the comfort and size of your seat for the cinema you were in?,How would you rate temperature in the cinema you were in?,Staffing levels were adequate with reasonable wait times,How would you rate the friendliness of our staff?,"How would you rate the cleanliness of the amenities, such as bathrooms?",Are you a Vrewards member?,Did you purchase any food or drinks from our Snack Bar or Gold Class menu?,How would you rate the overall selection of our food?,How would you rate the quality of our food?,How would you rate the price of our food?,"Based on your last experience, how likely would you recommend the Village cinema you visited to a friend or colleague?",Have you ever received or would you gift someone a movie experience?,Would you like to receive news and special offers from Village?,What is your name?,What is your email address?
Shepparton,Yes,Sunday,Convenient,More than 1 hour,More than 6 times,NA,6,8,10,10,5,A little cool,Strongly disagree,6,10,Yes,Yes,9,1,2,3,Yes,Yes,Aiden Brown,Aiden.Brown@mail.com
Bendigo,No,Saturday,Very Convenient,Less than 10 minutes,Once,No,2,3,0,5,2,A little warm,Strongly agree,6,8,Yes,Yes,9,6,8,0,Yes,Yes,Ryan Perez,Ryan.Perez@live.com.au
Fountain Gate,No,Sunday,Very Inconvenient,Less than 10 minutes,More than 6 times,No,6,0,0,2,0,Just right,Neither agree nor disagree,8,10,No,No,NA,NA,NA,9,Yes,No,NA,NA
Albury,Yes,Monday,Very Inconvenient,Less than 30 minutes,Once,Yes,9,2,9,10,9,A little warm,Strongly disagree,3,5,Yes,No,NA,NA,NA,5,No,No,NA,NA
Morwell,Yes,Wednesday,Indifferent,Less than 1 hour,Once,NA,7,6,5,0,8,Way too hot,Neither agree nor disagree,8,9,Yes,No,NA,NA,NA,1,Yes,Yes,Samuel Bennett,Samuel.Bennett@optusnet.com.au
Eastlands,No,Sunday,Convenient,Less than 1 hour,4-6 times,NA,6,3,8,2,3,A little warm,Neither agree nor disagree,1,7,Yes,No,NA,NA,NA,5,Yes,Yes,Jayden Evans,Jayden.Evans@optusnet.com.au
Warnambool,Yes,Monday,Inconvient,Less than 10 minutes,More than 6 times,NA,2,5,0,8,1,A little cool,Strongly disagree,2,4,Yes,Yes,3,0,10,8,No,Yes,Layla Powell,Layla.Powell@yahoo.com.au
Airport West,No,Thursday,Indifferent,Less than 30 minutes,More than 6 times,NA,2,6,10,1,5,A little cool,Disagree,8,8,Yes,No,NA,NA,NA,7,No,Yes,Paisley Zhang,Paisley.Zhang@bigpond.net.au
Fountain Gate,Yes,Wednesday,Indifferent,More than 1 hour,More than 6 times,Yes,1,9,3,0,7,Just right,Strongly agree,6,2,Yes,Yes,2,7,9,3,No,No,NA,NA
Fountain Gate,No,Saturday,Convenient,More than 1 hour,More than 6 times,No,7,8,1,4,6,A little cool,Agree,5,7,No,No,NA,NA,NA,1,Yes,Yes,Jacob Baker,Jacob.Baker@mail.com
Warragul,Yes,Saturday,Very Convenient,Less than 1 hour,More than 6 times,NA,7,10,0,3,4,Way too hot,Neither agree nor disagree,6,4,Yes,Yes,0,0,9,8,Yes,Yes,James Russell,James.Russell@hotmail.com
Coburg Drive-In,No,Tuesday,Very Convenient,Less than 30 minutes,More than 6 times,NA,5,4,0,9,8,Just right,Agree,10,10,No,No,NA,NA,NA,4,No,No,NA,NA
Coburg Drive-In,Yes,Sunday,Very Convenient,Less than 10 minutes,2-3 times,NA,8,1,0,7,0,A little warm,Strongly disagree,10,6,No,Yes,9,0,7,7,No,No,NA,NA
Jam Factory,No,Thursday,Indifferent,Less than 10 minutes,2-3 times,Yes,3,9,0,3,2,Just right,Strongly disagree,10,5,Yes,Yes,4,8,8,2,No,No,NA,NA
Warragul,Yes,Monday,Inconvient,Less than 10 minutes,Once,NA,0,4,0,9,7,A little warm,Neither agree nor disagree,0,6,No,Yes,2,2,5,2,No,No,NA,NA
Shepparton,Yes,Friday,Inconvient,More than 1 hour,4-6 times,NA,8,0,1,5,5,A little cool,Disagree,0,5,Yes,Yes,3,5,4,0,No,Yes,Henry Young,Henry.Young@msn.com
Geelong,No,Saturday,Convenient,Less than 30 minutes,2-3 times,No,4,5,6,0,9,Just right,Disagree,1,1,Yes,Yes,7,7,10,1,No,No,NA,NA
Sorrento,No,Tuesday,Very Inconvenient,Less than 1 hour,2-3 times,NA,1,6,10,0,5,Way too cold,Disagree,8,10,Yes,No,NA,NA,NA,5,Yes,Yes,Josiah Flores,Josiah.Flores@hotmail.com
Morwell,Yes,Monday,Very Convenient,Less than 1 hour,Once,NA,1,0,1,6,5,A little warm,Neither agree nor disagree,4,9,Yes,Yes,6,7,3,5,No,Yes,Zoe Evans,Zoe.Evans@bigpond.com
Karingal,Yes,Friday,Inconvient,More than 1 hour,More than 6 times,No,8,5,10,0,1,A little warm,Strongly disagree,0,8,No,Yes,10,2,2,5,Yes,Yes,Matthew Hill,Matthew.Hill@optusnet.com.au
Jam Factory,No,Saturday,Indifferent,Less than 30 minutes,More than 6 times,Yes,4,1,6,10,7,A little warm,Strongly agree,9,0,Yes,Yes,4,5,5,5,Yes,No,NA,NA
Rosebud,Yes,Tuesday,Very Convenient,Less than 1 hour,Once,NA,9,1,5,5,7,A little cool,Strongly disagree,10,9,Yes,No,NA,NA,NA,9,No,No,NA,NA
Launceston,No,Friday,Convenient,Less than 1 hour,More than 6 times,NA,8,6,10,5,9,Just right,Strongly agree,7,5,Yes,No,NA,NA,NA,10,Yes,Yes,Ethan Carter,Ethan.Carter@hotmail.com
Eastlands,Yes,Thursday,Very Inconvenient,Less than 10 minutes,4-6 times,NA,8,7,0,8,10,A little cool,Neither agree nor disagree,4,8,No,Yes,7,2,10,4,No,No,NA,NA
Werribee,Yes,Thursday,Very Inconvenient,Less than 1 hour,More than 6 times,Yes,5,3,10,3,4,Just right,Agree,0,1,Yes,No,NA,NA,NA,2,No,No,NA,NA
Southland,No,Tuesday,Indifferent,Less than 10 minutes,2-3 times,Yes,2,2,3,6,2,A little warm,Disagree,10,6,No,Yes,7,4,5,9,No,No,NA,NA
Fountain Gate,Yes,Tuesday,Very Convenient,Less than 30 minutes,4-6 times,No,1,8,2,0,7,Way too cold,Neither agree nor disagree,6,5,Yes,No,NA,NA,NA,3,No,Yes,Dylan Singh,Dylan.Singh@bigpond.com
Launceston,Yes,Thursday,Indifferent,Less than 1 hour,More than 6 times,NA,9,4,1,4,9,Way too cold,Strongly disagree,9,2,Yes,No,NA,NA,NA,6,Yes,Yes,Eliana Murphy,Eliana.Murphy@bigpond.com
Albury,No,Friday,Inconvient,Less than 1 hour,Once,No,6,9,10,4,7,A little warm,Neither agree nor disagree,1,9,Yes,Yes,7,0,10,4,No,No,NA,NA
Karingal,No,Thursday,Indifferent,Less than 30 minutes,Once,Yes,8,1,5,4,0,Way too hot,Strongly agree,7,7,Yes,Yes,0,0,10,5,No,No,NA,NA
Rivoli,Yes,Friday,Indifferent,Less than 30 minutes,2-3 times,Yes,10,8,10,3,0,Way too cold,Disagree,4,0,Yes,No,NA,NA,NA,6,Yes,No,NA,NA
Eastlands,No,Saturday,Indifferent,More than 1 hour,4-6 times,NA,9,2,5,0,10,A little warm,Neither agree nor disagree,10,5,No,No,NA,NA,NA,2,Yes,Yes,Liam Morgan,Liam.Morgan@yahoo.com.au
Albury,No,Sunday,Inconvient,Less than 1 hour,Once,Yes,9,10,3,3,8,A little cool,Agree,7,8,No,Yes,5,9,4,2,Yes,No,NA,NA
Knox,No,Friday,Convenient,More than 1 hour,More than 6 times,No,8,6,5,4,5,Way too cold,Neither agree nor disagree,4,6,Yes,Yes,1,1,5,7,Yes,No,NA,NA
Rosebud,Yes,Sunday,Convenient,Less than 1 hour,2-3 times,NA,9,1,5,9,2,Just right,Strongly agree,10,5,Yes,Yes,0,10,0,8,No,Yes,Penelope Russell,Penelope.Russell@live.com.au
Coburg Drive-In,Yes,Thursday,Convenient,More than 1 hour,Once,NA,2,4,3,2,6,Way too hot,Strongly disagree,3,1,Yes,Yes,5,0,1,0,Yes,No,NA,NA
Plenty Valley,Yes,Monday,Very Inconvenient,Less than 10 minutes,More than 6 times,No,6,3,4,3,5,A little cool,Neither agree nor disagree,3,2,No,No,NA,NA,NA,4,Yes,Yes,Connor Sanchez,Connor.Sanchez@mailinator.com
Geelong,Yes,Sunday,Inconvient,Less than 10 minutes,Once,No,1,0,10,6,2,Just right,Strongly agree,10,7,Yes,Yes,1,4,6,0,Yes,No,NA,NA
Rosebud,No,Monday,Very Inconvenient,Less than 1 hour,2-3 times,NA,3,0,1,2,4,Way too hot,Agree,1,5,Yes,No,NA,NA,NA,0,No,No,NA,NA
Airport West,Yes,Monday,Very Inconvenient,Less than 1 hour,More than 6 times,NA,0,6,1,9,0,A little cool,Strongly agree,0,3,No,No,NA,NA,NA,9,No,Yes,Nora Jones,Nora.Jones@bigpond.net.au
Coburg Drive-In,Yes,Friday,Inconvient,Less than 30 minutes,Once,NA,1,5,0,7,5,Way too hot,Neither agree nor disagree,9,0,Yes,Yes,10,8,8,8,No,Yes,Mackenzie Barnes,Mackenzie.Barnes@hotmail.com
Geelong,No,Sunday,Inconvient,Less than 30 minutes,Once,No,8,4,7,10,4,Way too hot,Disagree,6,8,Yes,Yes,9,3,7,3,Yes,Yes,Lucas Bailey,Lucas.Bailey@yahoo.com.au
Warragul,No,Wednesday,Convenient,Less than 1 hour,More than 6 times,NA,0,4,10,1,3,A little cool,Disagree,3,10,Yes,Yes,0,5,3,7,Yes,No,NA,NA
Southland,No,Saturday,Very Convenient,Less than 10 minutes,4-6 times,No,3,4,2,7,10,Just right,Agree,2,4,Yes,Yes,4,8,4,1,Yes,No,NA,NA
Geelong,Yes,Monday,Very Convenient,Less than 1 hour,More than 6 times,No,4,8,8,1,1,A little warm,Neither agree nor disagree,2,3,Yes,Yes,5,3,2,10,Yes,Yes,Isaiah Li,Isaiah.Li@mailinator.com
Coburg Drive-In,No,Friday,Indifferent,Less than 10 minutes,2-3 times,NA,9,2,3,10,8,Way too hot,Disagree,9,5,Yes,Yes,2,9,2,4,Yes,Yes,Grayson Johnson,Grayson.Johnson@gmail.com
Karingal,No,Tuesday,Inconvient,Less than 10 minutes,2-3 times,No,6,4,1,4,4,A little warm,Disagree,3,10,No,No,NA,NA,NA,10,No,No,NA,NA
Sorrento,No,Friday,Very Convenient,Less than 30 minutes,More than 6 times,NA,7,4,8,3,6,A little cool,Strongly agree,1,7,Yes,No,NA,NA,NA,4,No,No,NA,NA
Albury,Yes,Thursday,Convenient,Less than 30 minutes,4-6 times,Yes,7,1,2,8,5,A little cool,Neither agree nor disagree,4,0,Yes,Yes,2,1,1,3,No,No,NA,NA
Geelong,Yes,Monday,Convenient,Less than 30 minutes,Once,No,5,10,10,4,2,Way too cold,Strongly agree,4,8,Yes,Yes,4,3,0,6,Yes,No,NA,NA
Fountain Gate,Yes,Tuesday,Convenient,Less than 1 hour,4-6 times,No,10,7,0,2,1,Way too hot,Strongly disagree,1,9,No,Yes,7,10,2,6,Yes,Yes,Nora Bailey,Nora.Bailey@bigpond.com
Airport West,Yes,Monday,Indifferent,Less than 10 minutes,2-3 times,NA,10,3,5,9,4,Way too hot,Strongly disagree,3,9,Yes,No,NA,NA,NA,2,Yes,No,NA,NA
Rosebud,Yes,Monday,Inconvient,Less than 1 hour,Once,NA,9,0,5,7,2,Just right,Strongly agree,8,8,No,Yes,10,9,5,4,No,Yes,Julian Collins,Julian.Collins@live.com.au
Rivoli,No,Sunday,Indifferent,Less than 30 minutes,4-6 times,No,6,4,1,10,6,Just right,Disagree,9,5,No,No,NA,NA,NA,8,No,No,NA,NA
Knox,Yes,Sunday,Inconvient,Less than 1 hour,2-3 times,Yes,0,10,1,10,9,A little cool,Strongly disagree,8,8,No,Yes,5,4,3,4,Yes,No,NA,NA
Airport West,Yes,Tuesday,Indifferent,More than 1 hour,Once,NA,7,4,1,8,10,A little warm,Neither agree nor disagree,3,0,No,No,NA,NA,NA,7,No,No,NA,NA
Bendigo,No,Tuesday,Inconvient,More than 1 hour,More than 6 times,No,8,3,5,7,4,Way too cold,Neither agree nor disagree,5,5,Yes,No,NA,NA,NA,10,Yes,Yes,Michael Wright,Michael.Wright@outlook.com
Albury,No,Wednesday,Very Inconvenient,Less than 10 minutes,Once,No,8,3,1,1,6,Just right,Strongly agree,1,5,No,Yes,2,5,1,10,Yes,Yes,Penelope Ryan,Penelope.Ryan@optusnet.com.au
Rivoli,No,Sunday,Indifferent,Less than 10 minutes,Once,Yes,3,4,2,6,1,A little cool,Strongly agree,2,9,No,No,NA,NA,NA,1,No,No,NA,NA
Coburg Drive-In,No,Wednesday,Indifferent,Less than 10 minutes,More than 6 times,NA,9,4,3,0,3,A little cool,Agree,5,0,No,No,NA,NA,NA,1,Yes,No,NA,NA
Airport West,No,Thursday,Very Convenient,Less than 10 minutes,Once,NA,6,2,5,10,4,Just right,Strongly disagree,8,1,Yes,No,NA,NA,NA,9,No,Yes,Penelope White,Penelope.White@hotmail.com
Airport West,Yes,Saturday,Very Inconvenient,More than 1 hour,Once,NA,9,5,4,6,1,Way too cold,Disagree,10,6,Yes,No,NA,NA,NA,2,No,No,NA,NA
Warnambool,Yes,Sunday,Very Convenient,Less than 10 minutes,More than 6 times,NA,8,8,8,8,8,Way too cold,Neither agree nor disagree,8,6,Yes,No,NA,NA,NA,4,No,No,NA,NA
Albury,Yes,Thursday,Very Convenient,Less than 1 hour,More than 6 times,Yes,10,4,8,0,0,Just right,Strongly agree,8,2,Yes,No,NA,NA,NA,9,No,Yes,Oliver Edwards,Oliver.Edwards@hotmail.com
Coburg Drive-In,No,Thursday,Very Inconvenient,Less than 10 minutes,Once,NA,1,4,8,7,4,A little cool,Strongly agree,8,4,Yes,Yes,2,7,0,1,Yes,Yes,Mateo Lopez,Mateo.Lopez@gmail.com
Warnambool,Yes,Monday,Convenient,Less than 10 minutes,Once,NA,8,0,0,1,2,A little warm,Strongly agree,9,1,No,No,NA,NA,NA,7,No,No,NA,NA
Karingal,No,Thursday,Indifferent,Less than 1 hour,2-3 times,No,4,3,9,2,3,A little warm,Neither agree nor disagree,5,2,Yes,No,NA,NA,NA,9,Yes,No,NA,NA
Crown,No,Wednesday,Indifferent,More than 1 hour,More than 6 times,No,0,2,8,0,0,Way too hot,Strongly agree,4,3,Yes,No,NA,NA,NA,8,No,No,NA,NA
Albury,No,Wednesday,Very Inconvenient,Less than 1 hour,Once,No,8,3,8,2,9,Way too cold,Strongly disagree,4,6,Yes,No,NA,NA,NA,5,Yes,No,NA,NA
Glenorchy,Yes,Wednesday,Very Inconvenient,Less than 1 hour,More than 6 times,NA,3,5,2,0,6,A little cool,Strongly disagree,1,8,Yes,No,NA,NA,NA,5,No,Yes,Isabella James,Isabella.James@hotmail.com
Albury,Yes,Wednesday,Convenient,Less than 10 minutes,Once,Yes,4,6,5,3,9,Way too cold,Neither agree nor disagree,7,6,Yes,No,NA,NA,NA,7,No,No,NA,NA
Launceston,No,Friday,Very Inconvenient,More than 1 hour,More than 6 times,NA,5,8,5,5,8,Way too hot,Disagree,2,6,No,No,NA,NA,NA,8,Yes,Yes,Kinsley Singh,Kinsley.Singh@outlook.com
Bendigo,No,Monday,Very Inconvenient,More than 1 hour,More than 6 times,No,6,4,4,5,9,Way too cold,Strongly disagree,1,3,Yes,Yes,10,3,1,3,No,Yes,Julian Brooks,Julian.Brooks@hotmail.com
Werribee,No,Tuesday,Very Convenient,Less than 10 minutes,Once,Yes,2,5,1,9,8,A little cool,Agree,10,8,Yes,Yes,2,1,2,1,Yes,Yes,Daniel Li,Daniel.Li@hotmail.com
Glenorchy,Yes,Wednesday,Very Inconvenient,Less than 1 hour,Once,NA,10,6,2,5,3,Way too hot,Neither agree nor disagree,0,2,No,No,NA,NA,NA,6,Yes,No,NA,NA
Fountain Gate,No,Saturday,Very Convenient,Less than 1 hour,More than 6 times,No,7,7,5,1,8,Just right,Strongly agree,2,4,No,Yes,2,0,10,3,No,No,NA,NA
Doncaster,Yes,Monday,Inconvient,More than 1 hour,More than 6 times,Yes,6,2,3,8,8,Way too cold,Agree,0,1,No,No,NA,NA,NA,10,No,No,NA,NA
Warnambool,No,Tuesday,Indifferent,Less than 1 hour,2-3 times,NA,7,2,0,7,3,Just right,Strongly disagree,2,7,No,No,NA,NA,NA,0,Yes,No,NA,NA
Eastlands,Yes,Tuesday,Inconvient,Less than 10 minutes,4-6 times,NA,6,7,3,8,4,A little cool,Agree,10,2,Yes,Yes,7,4,6,9,Yes,No,NA,NA
Rosebud,Yes,Tuesday,Convenient,Less than 1 hour,2-3 times,NA,3,5,4,6,10,A little cool,Strongly disagree,2,8,Yes,No,NA,NA,NA,7,No,No,NA,NA
Warragul,No,Thursday,Very Inconvenient,Less than 30 minutes,More than 6 times,NA,2,10,7,6,9,Way too cold,Disagree,0,1,Yes,No,NA,NA,NA,2,No,No,NA,NA
Plenty Valley,No,Thursday,Inconvient,Less than 30 minutes,More than 6 times,No,8,0,7,6,7,A little warm,Strongly disagree,8,4,No,No,NA,NA,NA,6,Yes,No,NA,NA
Sorrento,No,Friday,Very Convenient,Less than 10 minutes,Once,NA,3,1,2,2,4,Way too hot,Agree,7,4,No,No,NA,NA,NA,8,No,No,NA,NA
Airport West,No,Friday,Convenient,More than 1 hour,Once,NA,4,1,10,10,7,Way too cold,Strongly agree,5,9,Yes,Yes,9,7,2,1,No,Yes,Ryan Phillips,Ryan.Phillips@bigpond.net.au
Crown,Yes,Monday,Inconvient,Less than 1 hour,4-6 times,No,4,0,0,3,7,Way too cold,Disagree,0,5,No,No,NA,NA,NA,10,No,No,NA,NA
Rivoli,No,Friday,Indifferent,More than 1 hour,Once,Yes,1,4,1,9,2,Just right,Neither agree nor disagree,5,1,No,No,NA,NA,NA,8,No,Yes,Paisley King,Paisley.King@yahoo.com.au
Southland,No,Wednesday,Very Convenient,Less than 30 minutes,More than 6 times,No,0,7,2,3,9,A little cool,Neither agree nor disagree,10,4,Yes,Yes,1,0,2,5,No,Yes,Wyatt Edwards,Wyatt.Edwards@mail.com
Century City,Yes,Friday,Inconvient,More than 1 hour,More than 6 times,No,6,1,6,6,7,Way too cold,Neither agree nor disagree,2,1,Yes,No,NA,NA,NA,9,Yes,Yes,Maya Edwards,Maya.Edwards@yahoo.com.au
Rosebud,Yes,Tuesday,Very Convenient,Less than 1 hour,2-3 times,NA,7,8,6,2,5,Way too hot,Strongly agree,9,10,No,No,NA,NA,NA,3,No,Yes,Aiden Patel,Aiden.Patel@bigpond.com
Sorrento,Yes,Friday,Inconvient,More than 1 hour,4-6 times,NA,6,3,0,3,0,Way too cold,Neither agree nor disagree,9,5,No,No,NA,NA,NA,7,No,Yes,Harper Reyes,Harper.Reyes@yahoo.com.au
Bendigo,Yes,Thursday,Convenient,More than 1 hour,Once,No,1,3,1,2,3,Way too hot,Strongly disagree,1,10,No,Yes,9,10,3,7,No,No,NA,NA
Fountain Gate,No,Monday,Very Inconvenient,Less than 30 minutes,4-6 times,Yes,9,8,1,9,2,Just right,Strongly disagree,6,6,No,No,NA,NA,NA,1,No,No,NA,NA
Coburg Drive-In,Yes,Friday,Very Inconvenient,Less than 1 hour,Once,NA,9,3,5,6,0,Way too cold,Strongly agree,9,5,No,No,NA,NA,NA,8,Yes,No,NA,NA
Crown,No,Sunday,Inconvient,Less than 30 minutes,4-6 times,No,10,6,3,8,6,Way too hot,Disagree,2,8,Yes,No,NA,NA,NA,3,No,No,NA,NA
Plenty Valley,No,Saturday,Very Inconvenient,Less than 10 minutes,Once,No,2,9,0,7,6,A little cool,Disagree,10,0,No,No,NA,NA,NA,2,Yes,Yes,Aubrey Morgan,Aubrey.Morgan@msn.com
Rosebud,No,Thursday,Very Convenient,Less than 10 minutes,More than 6 times,NA,10,6,9,1,7,A little cool,Agree,5,0,No,Yes,9,10,3,7,No,Yes,Leo Li,Leo.Li@yahoo.com.au
Airport West,No,Saturday,Inconvient,More than 1 hour,4-6 times,NA,7,3,4,9,8,Way too cold,Strongly agree,9,1,No,No,NA,NA,NA,5,No,No,NA,NA
Geelong,No,Monday,Convenient,Less than 1 hour,Once,Yes,6,4,7,2,7,A little cool,Agree,5,10,No,No,NA,NA,NA,8,No,Yes,Jackson Robinson,Jackson.Robinson@outlook.com
Hobart,No,Thursday,Very Inconvenient,Less than 1 hour,2-3 times,No,1,9,4,1,10,Way too cold,Agree,0,5,No,No,NA,NA,NA,6,Yes,No,NA,NA
Doncaster,Yes,Wednesday,Convenient,Less than 30 minutes,4-6 times,Yes,2,5,4,2,7,A little warm,Disagree,8,3,Yes,No,NA,NA,NA,6,Yes,Yes,Emma Bell,Emma.Bell@mail.com
Century City,Yes,Saturday,Convenient,Less than 10 minutes,More than 6 times,Yes,1,6,6,2,6,A little warm,Agree,9,3,Yes,No,NA,NA,NA,9,No,Yes,Sophia Watson,Sophia.Watson@outlook.com
Warnambool,No,Thursday,Inconvient,Less than 30 minutes,More than 6 times,NA,1,9,5,8,0,A little cool,Agree,3,0,No,Yes,4,5,8,4,Yes,No,NA,NA
Geelong,Yes,Saturday,Very Convenient,Less than 10 minutes,2-3 times,No,6,4,6,9,5,A little cool,Disagree,6,5,Yes,No,NA,NA,NA,5,Yes,No,NA,NA
Century City,No,Sunday,Very Inconvenient,Less than 10 minutes,Once,Yes,7,4,8,7,1,A little cool,Disagree,2,5,Yes,Yes,5,5,1,6,Yes,No,NA,NA
Shepparton,Yes,Tuesday,Indifferent,More than 1 hour,2-3 times,NA,0,2,6,8,6,Way too hot,Strongly agree,7,3,No,No,NA,NA,NA,1,Yes,No,NA,NA
Morwell,Yes,Friday,Convenient,More than 1 hour,Once,NA,5,3,2,7,10,A little warm,Neither agree nor disagree,3,2,Yes,No,NA,NA,NA,0,Yes,No,NA,NA
Plenty Valley,No,Thursday,Inconvient,Less than 1 hour,More than 6 times,No,2,0,7,0,8,A little warm,Strongly agree,9,4,No,No,NA,NA,NA,8,Yes,No,NA,NA
Plenty Valley,No,Tuesday,Indifferent,Less than 1 hour,4-6 times,Yes,7,4,8,6,1,A little warm,Strongly disagree,6,6,No,No,NA,NA,NA,1,Yes,Yes,Nathan Mitchell,Nathan.Mitchell@bigpond.net.au
Sorrento,Yes,Tuesday,Inconvient,Less than 1 hour,2-3 times,NA,3,7,0,7,8,A little warm,Agree,0,3,Yes,No,NA,NA,NA,0,No,Yes,Oliver Nelson,Oliver.Nelson@bigpond.com
Launceston,Yes,Monday,Very Inconvenient,More than 1 hour,More than 6 times,NA,3,3,8,4,5,Way too cold,Agree,6,3,Yes,Yes,6,4,7,0,Yes,Yes,Ryan Murphy,Ryan.Murphy@yahoo.com.au
Shepparton,Yes,Sunday,Indifferent,Less than 1 hour,More than 6 times,NA,0,4,4,6,1,Way too cold,Disagree,8,9,Yes,Yes,2,10,5,8,No,No,NA,NA
Hobart,Yes,Saturday,Indifferent,Less than 1 hour,2-3 times,Yes,0,4,5,10,0,A little cool,Strongly disagree,5,3,Yes,Yes,8,4,0,3,No,No,NA,NA
Fountain Gate,No,Thursday,Convenient,Less than 30 minutes,4-6 times,Yes,1,1,7,10,3,A little cool,Agree,3,10,Yes,Yes,1,8,0,8,No,Yes,Luke Nelson,Luke.Nelson@mailinator.com
Coburg Drive-In,Yes,Thursday,Convenient,Less than 30 minutes,4-6 times,NA,4,1,6,8,10,Just right,Disagree,8,10,Yes,No,NA,NA,NA,6,No,Yes,Ethan Sullivan,Ethan.Sullivan@bigpond.com
Morwell,Yes,Wednesday,Inconvient,More than 1 hour,4-6 times,NA,4,5,6,10,7,Just right,Agree,0,1,No,No,NA,NA,NA,10,Yes,Yes,Madelyn Morgan,Madelyn.Morgan@yahoo.com.au
Knox,No,Tuesday,Very Convenient,Less than 10 minutes,More than 6 times,No,7,5,3,8,2,Way too cold,Strongly disagree,4,2,Yes,Yes,9,10,6,10,No,Yes,Chloe Peterson,Chloe.Peterson@live.com.au
Sunshine,Yes,Saturday,Very Inconvenient,Less than 10 minutes,Once,Yes,6,0,5,3,8,Way too cold,Strongly agree,7,1,No,Yes,10,1,9,10,No,Yes,Isabella Perez,Isabella.Perez@yahoo.com.au
Doncaster,Yes,Thursday,Inconvient,More than 1 hour,4-6 times,Yes,0,7,0,9,7,Way too cold,Disagree,0,0,Yes,Yes,4,0,4,7,Yes,No,NA,NA
Knox,No,Saturday,Inconvient,Less than 30 minutes,More than 6 times,Yes,3,5,1,6,10,A little cool,Strongly agree,8,4,Yes,Yes,4,1,0,8,Yes,No,NA,NA
Shepparton,Yes,Tuesday,Very Inconvenient,More than 1 hour,Once,NA,5,5,0,1,6,Just right,Neither agree nor disagree,9,5,Yes,Yes,5,7,8,2,Yes,No,NA,NA
Sorrento,Yes,Sunday,Very Inconvenient,Less than 10 minutes,More than 6 times,NA,8,10,10,0,3,Just right,Strongly agree,10,8,Yes,Yes,0,6,7,9,No,No,NA,NA
Warnambool,No,Monday,Inconvient,Less than 30 minutes,2-3 times,NA,7,0,1,0,10,A little warm,Strongly disagree,8,1,Yes,No,NA,NA,NA,6,No,Yes,Henry Cruz,Henry.Cruz@msn.com
Glenorchy,No,Sunday,Inconvient,Less than 30 minutes,4-6 times,NA,9,4,0,3,2,Way too hot,Agree,9,4,No,No,NA,NA,NA,5,Yes,Yes,Emma Garcia,Emma.Garcia@bigpond.com
Rivoli,No,Monday,Very Inconvenient,Less than 30 minutes,2-3 times,No,8,6,0,0,8,Way too hot,Disagree,5,2,Yes,Yes,1,8,2,0,No,No,NA,NA
Shepparton,No,Thursday,Very Inconvenient,Less than 30 minutes,More than 6 times,NA,7,1,6,2,1,A little cool,Strongly agree,5,2,Yes,Yes,8,0,5,2,No,Yes,Isabelle Wilson,Isabelle.Wilson@hotmail.com
Geelong,Yes,Tuesday,Convenient,Less than 1 hour,More than 6 times,Yes,5,2,5,5,5,A little cool,Strongly disagree,2,0,No,No,NA,NA,NA,8,Yes,No,NA,NA
Rosebud,No,Friday,Indifferent,Less than 1 hour,2-3 times,NA,2,10,0,3,7,A little warm,Neither agree nor disagree,0,4,No,No,NA,NA,NA,2,Yes,Yes,Anna Roberts,Anna.Roberts@mail.com
Sorrento,Yes,Sunday,Convenient,Less than 30 minutes,4-6 times,NA,10,7,7,10,7,Just right,Disagree,0,8,No,No,NA,NA,NA,5,No,Yes,Ellie Peterson,Ellie.Peterson@mail.com
Jam Factory,No,Thursday,Very Convenient,More than 1 hour,4-6 times,No,3,8,5,7,9,Way too cold,Agree,0,6,Yes,Yes,0,9,9,3,No,No,NA,NA
Southland,No,Sunday,Convenient,Less than 10 minutes,More than 6 times,Yes,4,7,3,5,4,Just right,Agree,5,7,Yes,Yes,9,9,10,1,No,Yes,Cameron Robinson,Cameron.Robinson@gmail.com
Shepparton,No,Wednesday,Indifferent,Less than 1 hour,Once,NA,0,7,9,6,2,Way too cold,Neither agree nor disagree,8,0,Yes,No,NA,NA,NA,2,Yes,Yes,Eliana Thomas,Eliana.Thomas@optusnet.com.au
Werribee,Yes,Friday,Very Inconvenient,Less than 10 minutes,More than 6 times,Yes,6,7,1,3,9,Way too hot,Strongly agree,9,1,No,No,NA,NA,NA,4,No,Yes,Mia Lee,Mia.Lee@outlook.com
Doncaster,Yes,Thursday,Inconvient,Less than 1 hour,4-6 times,No,5,8,8,3,1,A little warm,Neither agree nor disagree,7,1,No,No,NA,NA,NA,0,No,No,NA,NA
